n,delta,p,corr_p
10000,20,0.1972,0.1972
10000,20,0.2023,0.2023
10000,20,0.2036,0.2036
10000,20,0.1924,0.1924
10000,20,0.1967,0.1967
10000,20,0.1963,0.1963
10000,20,0.1967,0.1967
100000,20,0.19665,0.19665
100000,20,0.19679,0.19679
100000,20,0.19625,0.19625
100000,20,0.20071,0.20071
100000,20,0.19597,0.19597
100000,20,0.20099,0.20099
100000,20,0.19827,0.19827
100000,20,0.19919,0.19919
100000,20,0.19597,0.19597
100000,20,0.19752,0.19752
100,25,0.4,0.4
100,25,0.4,0.4
100,25,0.38,0.38
100,25,0.52,0.52
100,25,0.41,0.41
100,25,0.49,0.49
100,25,0.43,0.43
100,25,0.35,0.35
100,25,0.42,0.42
100,25,0.54,0.54
1000,25,0.401,0.401
1000,25,0.424,0.424
1000,25,0.406,0.406
1000,25,0.429,0.429
1000,25,0.417,0.417
1000,25,0.4,0.4
1000,25,0.38,0.38
1000,25,0.424,0.424
1000,25,0.402,0.402
1000,25,0.429,0.429
10000,25,0.4125,0.4125
10000,25,0.4169,0.4169
10000,25,0.413,0.413
10000,25,0.4137,0.4137
10000,25,0.4169,0.4169
10000,25,0.409,0.409
10000,25,0.4226,0.4226
10000,25,0.4146,0.4146
10000,25,0.4196,0.4196
10000,25,0.4205,0.4205
100000,25,0.41224,0.41224
100000,25,0.41397,0.41397
100000,25,0.41557,0.41557
100000,25,0.41685,0.41685
100000,25,0.41179,0.41179
100000,25,0.41242,0.41242
100000,25,0.41226,0.41226
100000,25,0.41344,0.41344
100000,25,0.41516,0.41516
100000,25,0.41394,0.41394
100,30,0.36,0.36
100,30,0.44,0.44
100,30,0.5,0.5
100,30,0.44,0.44
100,30,0.43,0.43
100,30,0.29,0.29
100,30,0.42,0.42
100,30,0.5,0.5
100,30,0.53,0.53
100,30,0.51,0.51
1000,30,0.442,0.442
1000,30,0.449,0.449
1000,30,0.432,0.432
1000,30,0.439,0.439
1000,30,0.433,0.433
1000,30,0.427,0.427
1000,30,0.447,0.447
1000,30,0.457,0.457
1000,30,0.436,0.436
1000,30,0.427,0.427
10000,30,0.438,0.438
10000,30,0.4373,0.4373
10000,30,0.4438,0.4438
10000,30,0.4462,0.4462
10000,30,0.4493,0.4493
10000,30,0.4505,0.4505
10000,30,0.4416,0.4416
10000,30,0.4442,0.4442
10000,30,0.4454,0.4454
10000,30,0.4504,0.4504
100000,30,0.43997,0.43997
100000,30,0.44581,0.44581
100000,30,0.44484,0.44484
100000,30,0.44346,0.44346
100000,30,0.44389,0.44389
100000,30,0.44275,0.44275
100000,30,0.44252,0.44252
100000,30,0.4415,0.4415
100000,30,0.44547,0.44547
100000,30,0.4437,0.4437
100,35,0.02,0.02
100,35,0.03,0.03
100,35,0.05,0.05
100,35,0.01,0.01
100,35,0.01,0.01
100,35,0.03,0.03
100,35,0.03,0.03
100,35,0.05,0.05
100,35,0.05,0.05
100,35,0.06,0.06
1000,35,0.045,0.045
1000,35,0.024,0.024
1000,35,0.046,0.046
1000,35,0.035,0.035
1000,35,0.037,0.037
1000,35,0.046,0.046
1000,35,0.048,0.048
1000,35,0.047,0.047
1000,35,0.045,0.045
1000,35,0.043,0.043
10000,35,0.0431,0.0431
10000,35,0.0407,0.0407
10000,35,0.0478,0.0478
10000,35,0.0423,0.0423
10000,35,0.0431,0.0431
10000,35,0.0469,0.0469
10000,35,0.0448,0.0448
10000,35,0.0431,0.0431
10000,35,0.0455,0.0455
10000,35,0.0424,0.0424
100000,35,0.04453,0.04453
100000,35,0.0448,0.0448
100000,35,0.04448,0.04448
100000,35,0.04402,0.04402
100000,35,0.04393,0.04393
100000,35,0.04295,0.04295
100000,35,0.0451,0.0451
100000,35,0.0444,0.0444
100000,35,0.04405,0.04405
100000,35,0.04429,0.04429
100,40,0.02,0.02
100,40,0.0,0.01
100,40,0.01,0.01
100,40,0.0,0.01
100,40,0.02,0.02
100,40,0.0,0.01
100,40,0.0,0.01
100,40,0.0,0.01
100,40,0.0,0.01
100,40,0.0,0.01
1000,40,0.005,0.005
1000,40,0.007,0.007
1000,40,0.008,0.008
1000,40,0.001,0.001
1000,40,0.002,0.002
1000,40,0.009,0.009
1000,40,0.007,0.007
1000,40,0.006,0.006
1000,40,0.005,0.005
1000,40,0.005,0.005
10000,40,0.0043,0.0043
10000,40,0.0037,0.0037
10000,40,0.006,0.006
10000,40,0.0038,0.0038
10000,40,0.005,0.005
10000,40,0.0058,0.0058
10000,40,0.0049,0.0049
10000,40,0.0059,0.0059
10000,40,0.006,0.006
10000,40,0.0059,0.0059
100000,40,0.00515,0.00515
100000,40,0.00503,0.00503
100000,40,0.00511,0.00511
100000,40,0.0053,0.0053
100000,40,0.00527,0.00527
100000,40,0.00548,0.00548
100000,40,0.00513,0.00513
100000,40,0.00519,0.00519
100000,40,0.0051,0.0051
100000,40,0.00497,0.00497
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
100,45,0.0,0.01
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
1000,45,0.0,0.001
10000,45,0.0,0.0001
10000,45,0.0,0.0001
10000,45,0.0,0.0001
10000,45,0.0001,0.0001
10000,45,0.0,0.0001
10000,45,0.0001,0.0001
10000,45,0.0001,0.0001
10000,45,0.0001,0.0001
10000,45,0.0002,0.0002
10000,45,0.0,0.0001
100000,45,4e-05,4e-05
100000,45,4e-05,4e-05
100000,45,3e-05,3e-05
100000,45,6e-05,6e-05
100000,45,4e-05,4e-05
100000,45,4e-05,4e-05
100000,45,0.0001,0.0001
100000,45,0.0001,0.0001
100000,45,3e-05,3e-05
100000,45,9e-05,9e-05
100,50,0.02,0.02
100,50,0.01,0.01
100,50,0.01,0.01
100,50,0.0,0.01
100,50,0.0,0.01
100,50,0.0,0.01
100,50,0.0,0.01
100,50,0.0,0.01
100,50,0.01,0.01
100,50,0.02,0.02
1000,50,0.004,0.004
1000,50,0.006,0.006
1000,50,0.013,0.013
1000,50,0.007,0.007
1000,50,0.007,0.007
1000,50,0.007,0.007
1000,50,0.007,0.007
1000,50,0.007,0.007
1000,50,0.008,0.008
1000,50,0.005,0.005
10000,50,0.0081,0.0081
10000,50,0.0078,0.0078
10000,50,0.0091,0.0091
10000,50,0.0083,0.0083
10000,50,0.008,0.008
10000,50,0.0076,0.0076
10000,50,0.0073,0.0073
10000,50,0.0081,0.0081
10000,50,0.0086,0.0086
10000,50,0.0079,0.0079
100000,50,0.00801,0.00801
