type,n,p,corr_p
diff,1000,0.014,0.014
diff,1000,0.009,0.009
diff,1000,0.017,0.017
diff,1000,0.013,0.013
diff,1000,0.009,0.009
diff,1000,0.011,0.011
diff,1000,0.016,0.016
diff,1000,0.015,0.015
diff,1000,0.012,0.012
diff,1000,0.007,0.007
diff,1000,0.015,0.015
diff,1000,0.012,0.012
diff,1000,0.007,0.007
diff,1000,0.012,0.012
diff,1000,0.008,0.008
diff,1000,0.012,0.012
diff,10000,0.0108,0.0108
diff,10000,0.0113,0.0113
diff,10000,0.0106,0.0106
diff,10000,0.0112,0.0112
diff,10000,0.0119,0.0119
diff,10000,0.0113,0.0113
diff,10000,0.0095,0.0095
diff,10000,0.0098,0.0098
diff,10000,0.0122,0.0122
diff,10000,0.0098,0.0098
diff,10000,0.0107,0.0107
diff,10000,0.0125,0.0125
diff,10000,0.0115,0.0115
diff,10000,0.0118,0.0118
diff,10000,0.0095,0.0095
diff,10000,0.0129,0.0129
diff,10000,0.0114,0.0114
diff,10000,0.0108,0.0108
diff,10000,0.0124,0.0124
diff,10000,0.0091,0.0091
diff,10000,0.0104,0.0104
diff,10000,0.0105,0.0105
diff,10000,0.011,0.011
diff,10000,0.0102,0.0102
diff,10000,0.0134,0.0134
diff,10000,0.0124,0.0124
diff,10000,0.0103,0.0103
diff,10000,0.008,0.008
diff,10000,0.0109,0.0109
diff,10000,0.0096,0.0096
diff,10000,0.0115,0.0115
diff,10000,0.0123,0.0123
diff,10000,0.0129,0.0129
diff,10000,0.0105,0.0105
diff,10000,0.011,0.011
diff,10000,0.0113,0.0113
diff,10000,0.0095,0.0095
diff,10000,0.0112,0.0112
diff,10000,0.009,0.009
diff,10000,0.0107,0.0107
diff,10000,0.0102,0.0102
diff,10000,0.0117,0.0117
diff,10000,0.0117,0.0117
diff,10000,0.0099,0.0099
diff,10000,0.0094,0.0094
diff,10000,0.0114,0.0114
diff,10000,0.0114,0.0114
diff,10000,0.0106,0.0106
diff,10000,0.0098,0.0098
diff,10000,0.0095,0.0095
diff,100000,0.01085,0.01085
diff,100000,0.01107,0.01107
diff,100000,0.01093,0.01093
diff,100000,0.01115,0.01115
diff,100000,0.01074,0.01074
diff,100000,0.01085,0.01085
diff,100000,0.01077,0.01077
diff,100000,0.01107,0.01107
diff,100000,0.01147,0.01147
diff,100000,0.01137,0.01137
diff,100000,0.01123,0.01123
diff,100000,0.01113,0.01113
diff,100000,0.01039,0.01039
diff,100000,0.01154,0.01154
diff,100000,0.01062,0.01062
diff,100000,0.01099,0.01099
diff,100000,0.01047,0.01047
diff,100000,0.01081,0.01081
diff,100000,0.01029,0.01029
diff,100000,0.01128,0.01128
diff,100000,0.01073,0.01073
diff,100000,0.01085,0.01085
diff,100000,0.01124,0.01124
diff,100000,0.01129,0.01129
diff,100000,0.01085,0.01085
diff,100000,0.0106,0.0106
diff,100000,0.01093,0.01093
diff,100000,0.01074,0.01074
diff,100000,0.0107,0.0107
diff,100000,0.01089,0.01089
diff,100000,0.01011,0.01011
diff,100000,0.01074,0.01074
diff,100000,0.01066,0.01066
diff,100000,0.01121,0.01121
diff,100000,0.01087,0.01087
diff,100000,0.01058,0.01058
diff,100000,0.01097,0.01097
diff,100000,0.01064,0.01064
diff,100000,0.01066,0.01066
diff,100000,0.01087,0.01087
diff,100000,0.01099,0.01099
diff,100000,0.01076,0.01076
diff,100000,0.01098,0.01098
diff,100000,0.01108,0.01108
diff,100000,0.01076,0.01076
diff,100000,0.01068,0.01068
diff,100000,0.01106,0.01106
diff,100000,0.01085,0.01085
diff,100000,0.01123,0.01123
diff,100000,0.01073,0.01073
