dist,p,t,p_t_2,p_t_1,p_f_2,p_f_1
0.5020000000000001,0.00985,-2.4495640469764313,0.016089703029016404,0.008044851514508202,0.021442060536130396,0.010721030268065198
0.5030000000000001,0.4001,-0.2519963617355915,0.8016189585655941,0.40080947928279703,0.8103312687075168,0.4051656343537584
0.5040000000000001,0.26866,0.616843293495989,0.5388185433299204,0.2694092716649602,0.5484985739015704,0.2742492869507852
0.5050000000000001,0.13558,-1.1558226605887083,0.2506458426132532,0.1253229213066266,0.28012834754415983,0.14006417377207991
0.5060000000000001,0.29111,-0.5346179200673111,0.5941271809309596,0.2970635904654798,0.5891962540613738,0.2945981270306869
0.5070000000000001,0.44431,0.13119202016595227,0.8958938632409902,0.4479469316204951,0.9044804140871934,0.4522402070435967
0.5080000000000001,0.1368,-1.1500122876821683,0.25301099150517653,0.12650549575258827,0.28010572172727777,0.14005286086363888
0.5090000000000001,0.20093,0.8114367308902749,0.4191487171482867,0.20957435857414336,0.41221286122520323,0.20610643061260162
0.5100000000000001,0.00885,-2.5847282085651324,0.011295215088591659,0.0056476075442958296,0.020330748565005552,0.010165374282502776
0.5110000000000001,0.30324,0.47776764040276076,0.6338963612164505,0.31694818060822527,0.61706815465831,0.308534077329155
0.5120000000000001,0.21861,-0.7323036195498033,0.46573657435938176,0.23286828717969088,0.44724505666691394,0.22362252833345697
0.5130000000000001,0.06686,-1.511619856562563,0.1338517965511055,0.06692589827555274,0.13359092705154485,0.06679546352577242
0.5140000000000001,0.00551,-2.4937597690503392,0.01434760078733116,0.00717380039366558,0.011715270168779688,0.005857635084389844
0.5150000000000001,0.0865,-1.2720272301717408,0.2063965081934423,0.10319825409672115,0.1802170492023868,0.0901085246011934
0.5160000000000001,0.00817,-2.098582997539414,0.03842828706919368,0.01921414353459684,0.018263473403177,0.0091317367015885
0.5170000000000001,0.01948,-1.8994823563642258,0.0605151011314344,0.0302575505657172,0.03935223737019965,0.019676118685099823
0.5180000000000001,0.13582,-1.1352191579904385,0.259221928831939,0.1296109644159695,0.2798331350896153,0.13991656754480766
0.5190000000000001,0.49472,1.074387931737614e-14,0.9999999999999915,0.4999999999999957,1.0,0.5
0.5200000000000001,0.01014,-2.6137336523522747,0.010378277854537064,0.005189138927268532,0.020294531566120454,0.010147265783060227
0.5210000000000001,3e-05,-4.592954375448808,1.302201770037214e-05,6.51100885018607e-06,6.841873953015961e-05,3.4209369765079806e-05
0.5220000000000001,0.00156,-3.14463468243123,0.0022024843647745315,0.0011012421823872658,0.003073484908857744,0.001536742454428872
0.5230000000000001,0.21757,-0.769160576170579,0.44365509395005553,0.22182754697502777,0.44703777959649715,0.22351888979824858
0.5240000000000001,0.13905,-1.0485170936515733,0.29699646201078633,0.14849823100539317,0.2800354461172253,0.14001772305861265
0.5250000000000001,0.00275,-2.5890959727523786,0.011087987260969276,0.005543993630484638,0.006128295547041585,0.0030641477735207927
0.5260000000000001,0.02666,-1.759155910235229,0.0816723771516791,0.04083618857583955,0.054849904753859216,0.027424952376929608
