,index,ID,Date,HS time,phenotype,number,freq,total,suppressors
391,393,A-14-2-2/PS5961,7/30/17,30,P,aaaaaaaaa,0,9,0
392,394,A-14-2-2/PS5961 (M),7/30/17,30,P,aaaaaaaa,0,8,0
393,395,A-14-2-2/PS5689,7/30/17,30,P,aaaaaaaaa,0,9,0
394,396,A-14-2-2/PS5689 (M),7/30/17,30,P,aaaaaaaaaa,0,10,0
395,397,PS7244,7/30/17,30,P,aaaaaaaaaaa,0,11,0
396,398,A-14-3-3/PS5970,7/30/17,30,P,aaaaaaaaa,0,9,0
397,399,A-14-3-3/PS5970 (M),7/30/17,30,P,aaaaaaaaa,0,9,0
398,400,A-14-3-3/PS5961,7/30/17,30,P,aaaaaa,0,6,0
399,401,A-14-3-3/PS5961 (M),7/30/17,30,P,aaaaaa,0,6,0
400,402,A-14-3-3/PS5689,7/30/17,30,P,aaaaaaaaaa,0,10,0
401,403,A-14-3-3/PS5689 (M),7/30/17,30,P,aaaaaaaaaa,0,10,0
402,404,A-17-1-3,7/31/17,15,P,sssasasassss,0.75,12,9
403,405,A-17-1-3/PS5970,7/31/17,15,P,aaaaa,0,5,0
404,406,A-17-1-3/PS5970 (M),7/31/17,15,P,aaaaaa,0,6,0
405,407,A-17-1-3/PS5961,7/31/17,15,P,aaaaa,0,5,0
406,408,A-17-1-3/PS5961 (M),7/31/17,15,P,aaaa,0,4,0
407,409,A-17-1-3/PS5689,7/31/17,15,P,aaaaaa,0,6,0
408,410,A-17-1-3/PS5689 (M),7/31/17,15,P,aaaaaaa,0,7,0
409,411,A-19-1-3,8/4/17,15,P,sasasaasas,0.5,10,5
410,412,A-19-1-3/PS5970,8/4/17,15,P,aaaaaaaaaaaaaas,0.066666667,15,1
411,413,A-19-1-3/PS5970 (M),8/4/17,15,P,aaaaaaaa,0,8,0
412,414,A-19-1-3/PS5961,8/4/17,15,P,aaaaaaaaa,0,9,0
413,415,A-19-1-3PS5961 (M),8/4/17,15,P,aaaaaaaaa,0,9,0
414,416,A-19-1-3/PS5689,8/4/17,15,P,aaaaaaa,0,7,0
415,417,A-19-1-3/PS5689 (M),8/4/17,15,P,asaaaaa,0.142857143,7,1
416,419,A-9-1-1/PS5961,8/4/17,15,P,aaaaaaaaaaaa,0,12,0
417,420,A-9-1-1/PS5961 (M),8/4/17,15,P,aaaa,0,4,0
418,421,A-23-2-3,8/4/17,15,P,asaaassasaassass,0.5,16,8
419,422,A-23-2-3/A-13-3c,8/4/17,15,P,aaaaaaaaaaaa,0,12,0
420,423,A-23-2-3/A-13-3c (M),8/4/17,15,P,aaaaaaaa,0,8,0
421,424,A-7-2-1,8/5/17,15,P,saaaassaaaaaa,0.230769231,13,3
422,425,A-7-2-1/PS5970,8/5/17,15,P,aaaaaaaa,0,8,0
423,426,A-7-2-1/PS5970 (M),8/5/17,15,P,aaaaa,0,5,0
424,427,A-7-2-1/PS5961,8/5/17,15,P,aaaaa,0,5,0
425,428,A-7-2-1/PS5961 (M),8/5/17,15,P,aaaaa,0,5,0
426,429,A-7-2-1/PS5689,8/5/17,15,P,aaaaaaaaa,0,9,0
427,430,A-7-2-1/PS5689 (M),8/5/17,15,P,aaaaa,0,5,0
428,431,A-12-1-1,8/5/17,15,P,ssssaassaasaaaasassssss,0.608695652,23,14
429,432,A-14-2-2,8/5/17,15,P,sssssssss,1,9,9
430,433,A-14-2-2/A-12-1-1 (M),8/5/17,15,P,aaaaAaaa,0,8,0
431,434,A-14-2-2/A-12-1-1,8/5/17,15,P,aaAAaaa,0,7,0
432,435,A-14-3-3/A12-1-1,8/5/17,15,P,aaaaaaaaaaaaa,0,13,0
433,436,A-14-3-3/A12-1-1 (M),8/5/17,15,P,aaaaa,0,5,0
434,438,A-23-2-3,8/7/17,15,P,aasaasssaasaaaaaa,0.294117647,17,5
435,439,EG8040,8/7/17,15,P,everyone is pumping,0.052631579,1,1
436,440,EG8040/A23-2-3,8/7/17,15,P,a,0,1,0
437,442,A-13-3c,8/8/17,15,P,saassssasasss,0.692307692,13,9
438,444,A-12-1-1,8/8/17,15,P,aasssssaaasaaaasssaaaas,0.434782609,23,10
439,446,A-19-1-3,8/8/17,15,P,ssssssassssasasssss,0.842105263,19,16
440,448,A-9-1-1,8/11/17,15,P,ssssssssssssssssssssssss,1,24,24
441,450,A-13-3c,8/12/17,15,P,aaaasaasaassaasssaassssaasasaassaassssa,0.487179487,39,19
442,451,A-13-3c,8/12/17,15,P,saaaasaasssssassasasas,0.545454545,22,12
443,452,A-19-1-3,8/12/17,15,P,aasassssssasassssssaasaa,0.625,24,15
444,453,A-19-1-3,8/12/17,15,P,aassssssaassaaasaaaasasaasa,0.444444444,27,12
445,454,A-12-1-1,8/12/17,15,P,ssaasasaaaaasassasassaaaasasa,0.413793103,29,12
446,455,A-12-1-1,8/12/17,15,P,saaaaaassaassaassassaassaas,0.444444444,27,12
447,456,A-19-1-3,8/14/17,1/15/00,P,sasssssssasaass,0.733333333,15,11
448,457,A-19-1-3,8/14/17,1/15/00,P,ssssssassssssss,0.933333333,15,14
449,458,A-7-3.3,7/21/17,15,DL,ssssssassssa,0.833333333,12,10
450,459,A-7-3.1,7/21/17,15,DL,ssssssassssa,0.833333333,12,10
451,460,PS7244,7/22/17,15,DL,asaaaaaaaaaaaaa,0.066666667,15,1
452,461,A-10-3a,7/22/17,15,DL,aaaaaaaaaaaaaaaaae,0,17,0
453,462,A-10-2a,7/22/17,15,DL,aaaaaaaaaaaa3,0,12,0
454,463,A-10-3b,7/22/17,15,DL,aaaaaaasaaaaaasa,0.125,16,2
455,464,A-35-2a,7/22/17,15,DL,ssaaasasaaaassaaaaa,0.315789474,19,6
456,465,A-35-2b,7/22/17,15,DL,aaaaaaaaaasaaaaaaaaaat,0.045454545,21,1
457,466,A-35-2c,7/22/17,15,DL,aaaaaaaaaaaaaaaaaaaaaaaaaaa,0,27,0
