ID,Date,HS time,L,P,DL,DP,NOTE,,,
A-7-2-1/PS5970,8/5/17,15,aaasaaaa,aaaaaaaa,aaasasa,aaaaaaaa,none constipated,,,
A-7-2-1/PS5970 (M),8/5/17,15,ssaass,aaaaa,sssaasss,aaaaa,,,,
A-7-2-1/PS5961,8/5/17,15,aaaaa,aaaaa,aaaaaa,aaaaa,,,,
A-7-2-1/PS5961 (M),8/5/17,15,aaasaaaa,aaaaa,sssaa,aaaaa,,,,
A-7-2-1/PS5689,8/5/17,15,aaaaaaaas,aaaaaaaaa,aaasasaaaa,assaasa,not constipated,,,
A-7-2-1/PS5689 (M),8/5/17,15,sssas,aaaaa,ssass,aaasaaaaa,,,,
A-12-1-1,8/5/17,15,aaaaaaaaaaaa,ssssaassaasaaaasassssss,assaaasasasaaasaasasaaassa,aaaaaaaaaaaa,all unc,,,
A-14-2-2,8/5/17,15,saaasaaa,sssssssss,ssaaasaaa,sssssssss,slight unc,,,
A-14-2-2/A-12-1-1 (M),8/5/17,15,aaaasaaa,aaaaAaaa,asaaaaaa,aaaaAaaa,,,,
A-14-2-2/A-12-1-1,8/5/17,15,aassaaa,aaAAaaa,saaaassaa,aaAAaaa,,,,
A-14-3-3/A12-1-1,8/5/17,15,asaass,aaaaaaaaaaaaa,aaaasaaaa,aaaaaaaaaaaaa,,,,
A-14-3-3/A12-1-1 (M),8/5/17,15,ass,aaaaa,assssass,aaaaa,,,,
A-17-1-3,8/7/17,15,,,,,,,,
A-23-2-3,8/7/17,15,aaaaaaaaaaaaaaaaaaaaaaaaa,aasaasssaasaaaaaa,,,,,,
EG8040,8/7/17,15,asassssaasssasasssassasssasssssa,everyone is pumping,,,,,,
EG8040/A23-2-3,8/7/17,15,40 non suppressors,a,,,,,,
EG8040/A17-1-3,8/8/17,15,32,,,,,,,
A-13-3c,8/8/17,15,aaaaaa,saassssasasss,,,,,,
EG8040/A-13-3c,8/8/17,15,33 non suppesoors,,,,,,,
A-12-1-1,8/8/17,15,saaaaaaaaaaaa,aasssssaaasaaaasssaaaas,pump slow,,,,,
EG8040/A-12-1-1,8/8/17,15,36 NS,,,,,,,
A-19-1-3,8/8/17,15,ssaaasaaasaaasaassasaaasasa,ssssssassssasasssss,,,,,,
EG8040/A-10-1-3,8/8/17,15,17 NS,,,,,,,
A-9-1-1,8/11/17,15,aaaasssaasaasa,ssssssssssssssssssssssss,,,,,,
EG8040/A-9-1-1,8/11/17,15,35 NS ,,,,,,,
A-13-3c,8/12/17,15,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaasaasaassaasssaassssaasasaassaassssa,,,,,,
A-13-3c,8/12/17,15,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,saaaasaasssssassasasas,,,,,,
A-19-1-3,8/12/17,15,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aasassssssasassssssaasaa,,,,,,
A-19-1-3,8/12/17,15,aasasaaaaaaaaaaaaaaaaaasass,aassssssaassaaasaaaasasaasa,,,,,,
A-12-1-1,8/12/17,15,aaaaaaaaaaaaaaaaaaaaa,ssaasasaaaaasassasassaaaasasa,,,,,,
A-12-1-1,8/12/17,15,aaaaaaaaaaaaaaaa,saaaaaassaassaassassaassaas,,,,,,
A-19-1-3,8/14/17,1/15/00,aaaaaaaaaaaaaaaaaaaa,sasssssssasaass,,,,,,
A-19-1-3,8/14/17,1/15/00,aassasaaaaaas,ssssssassssssss,,,,,,
