type,n,p
stat,100000,0.25476
stat,100000,0.25748
stat,100000,0.25697
stat,100000,0.25593
stat,100000,0.25543
stat,100000,0.25737
stat,100000,0.25522
stat,100000,0.25981
stat,100000,0.25835
stat,100000,0.25825
stat,100000,0.25801
stat,100000,0.25574
stat,100000,0.25688
stat,100000,0.25895
stat,100000,0.25926
stat,100000,0.25776
stat,100000,0.25915
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.3
diff,10,0.0
diff,10,0.1
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.1
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.1
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,10,0.0
diff,100,0.0
diff,100,0.05
diff,100,0.02
diff,100,0.01
diff,100,0.03
diff,100,0.04
diff,100,0.0
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.04
diff,100,0.01
diff,100,0.02
diff,100,0.04
diff,100,0.02
diff,100,0.01
diff,100,0.02
diff,100,0.04
diff,100,0.02
diff,100,0.01
diff,100,0.0
diff,100,0.02
diff,100,0.0
diff,100,0.0
diff,100,0.0
diff,100,0.01
diff,100,0.04
diff,100,0.0
diff,100,0.0
diff,100,0.0
diff,100,0.04
diff,100,0.02
diff,100,0.01
diff,100,0.0
diff,100,0.0
diff,100,0.02
diff,100,0.03
diff,100,0.0
diff,100,0.0
diff,100,0.03
diff,100,0.01
diff,100,0.02
diff,100,0.01
diff,100,0.02
diff,100,0.05
diff,100,0.02
diff,100,0.02
diff,100,0.01
diff,100,0.01
diff,1000,0.008
diff,1000,0.011
diff,1000,0.014
diff,1000,0.014
diff,1000,0.017
diff,1000,0.009
diff,1000,0.015
diff,1000,0.011
diff,1000,0.02
diff,1000,0.014
diff,1000,0.021
diff,1000,0.012
diff,1000,0.015
diff,1000,0.015
