n,dist,p
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100000,0.4,1e-05
100,0.5,0.11
100,0.5,0.06
100,0.5,0.07
100,0.5,0.07
100,0.5,0.1
100,0.5,0.15
100,0.5,0.13
100,0.5,0.11
100,0.5,0.07
100,0.5,0.08
100,0.5,0.09
100,0.5,0.13
100,0.5,0.1
100,0.5,0.11
100,0.5,0.05
100,0.5,0.09
100,0.5,0.09
100,0.5,0.12
100,0.5,0.14
100,0.5,0.07
100,0.5,0.08
100,0.5,0.08
100,0.5,0.09
100,0.5,0.12
100,0.5,0.09
100,0.5,0.1
100,0.5,0.09
100,0.5,0.08
100,0.5,0.11
100,0.5,0.11
100,0.5,0.11
100,0.5,0.19
100,0.5,0.06
100,0.5,0.1
100,0.5,0.13
100,0.5,0.06
100,0.5,0.1
100,0.5,0.11
100,0.5,0.1
100,0.5,0.12
100,0.5,0.08
100,0.5,0.06
100,0.5,0.08
100,0.5,0.07
100,0.5,0.11
100,0.5,0.02
100,0.5,0.09
100,0.5,0.09
100,0.5,0.14
100,0.5,0.13
1000,0.5,0.091
1000,0.5,0.116
1000,0.5,0.099
1000,0.5,0.116
1000,0.5,0.103
1000,0.5,0.109
1000,0.5,0.103
1000,0.5,0.113
